route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,shape_id,bikes_allowed
②_A,平日,平日_06時07分_系統2-1-2,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-2,0
⑤_A,平日,平日_06時07分_系統5-1-9,湯の川,,,,5-1-9,0
②_A,平日,平日_06時12分_系統2-1-4,湯の川,,,,2-1-4,0
⑤_A,平日,平日_06時13分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_06時14分_系統5-1-4,末広町（五稜郭公園前・函館駅前・十字街 経由）,,,,5-1-4,0
②_A,平日,平日_06時18分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_06時18分_系統5-1-9,湯の川,,,,5-1-9,0
②_A,平日,平日_06時23分_系統2-1-4,湯の川,,,,2-1-4,0
⑤_A,平日,平日_06時24分_系統5-1-3,函館駅前（五稜郭公園前 経由）,,,,5-1-3,0
⑤_A,平日,平日_06時24分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_06時29分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_06時29分_系統5-1-9,湯の川,,,,5-1-9,0
②_A,平日,平日_06時35分_系統2-1-4,湯の川,,,,2-1-4,0
⑤_A,平日,平日_06時35分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_06時41分_系統5-1-9,湯の川,,,,5-1-9,0
②_A,平日,平日_06時41分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_06時47分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_06時47分_系統2-1-4,湯の川,,,,2-1-4,0
②_A,平日,平日_06時50分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_06時50分_系統5-1-8,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-8,0
⑤_A,平日,平日_06時52分_系統5-1-9,湯の川,,,,5-1-9,0
⑤_A,平日,平日_06時53分_系統5-1-7,湯の川（五稜郭公園前・競馬場前 経由）,,,,5-1-7,0
②_A,平日,平日_06時53分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_06時57分_系統2-1-4,湯の川,,,,2-1-4,0
⑤_A,平日,平日_06時58分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_06時58分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
⑤_A,平日,平日_07時03分_系統5-1-9,湯の川,,,,5-1-9,0
②_A,平日,平日_07時03分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_07時04分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
②_A,平日,平日_07時09分_系統2-1-4,湯の川,,,,2-1-4,0
⑤_A,平日,平日_07時10分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
⑤_A,平日,平日_07時10分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_07時15分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
⑤_A,平日,平日_07時15分_系統5-1-9,湯の川,,,,5-1-9,0
②_A,平日,平日_07時16分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_07時22分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_07時22分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_07時27分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_07時28分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_07時34分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
⑤_A,平日,平日_07時34分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
②_A,平日,平日_07時39分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_07時40分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_07時46分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
⑤_A,平日,平日_07時46分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
②_A,平日,平日_07時51分_系統2-1-3,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,2-1-3,0
②_A,平日,平日_07時52分_系統2-1-1,谷地頭（五稜郭公園前・函館駅前・十字街・宝来町 経由）,,,,2-1-1,0
⑤_A,平日,平日_07時58分_系統5-1-5,湯の川（十字街・函館駅前・五稜郭公園前・競馬場前 経由）,,,,5-1-5,0
⑤_A,平日,平日_07時58分_系統5-1-1,函館どつく前（五稜郭公園前・函館駅前・十字街・末広町 経由）,,,,5-1-1,0
